#{"t_start": 1597825671.7083817, "env_id": null}
r,l,t
0.0,303,1839.573376
0.0,303,1842.537452
0.0,303,1845.086638
0.0,303,1847.58347
0.0,303,1850.005995
0.0,303,1852.430514
0.0,303,1854.987678
0.0,303,1858.30825
0.0,303,1861.473789
0.0,303,1865.668859
0.0,303,1869.38393
0.0,303,1872.698071
0.0,303,1875.459687
0.0,303,1878.101626
0.0,303,1881.697123
0.0,303,1885.553814
0.0,303,1888.807118
0.0,303,1891.598655
0.0,303,1894.04684
0.0,303,1897.093696
0.0,303,1899.775527
0.0,303,1902.788473
0.0,303,1905.654811
0.0,303,1908.100274
0.0,303,1910.490884
0.0,303,1912.997185
0.0,303,1915.515453
0.0,303,1917.993829
0.0,303,1920.657708
0.0,303,1923.155032
0.0,303,1925.76705
0.0,303,1928.407685
0.0,303,1931.186259
0.0,303,1933.722478
0.0,303,1936.160961
0.0,303,1939.008112
0.0,303,1941.888373
0.0,303,1944.936247
0.0,303,1947.632041
0.0,303,1950.315866
0.0,303,1953.332905
0.0,303,1956.277552
0.0,303,1958.686112
0.0,303,1961.135564
0.0,303,1963.590004
0.0,303,1966.234934
0.0,303,1968.776479
0.0,303,1971.305719
0.0,303,1973.775118
0.0,303,1976.1757
0.0,303,1978.691975
0.0,303,1981.30898
0.0,303,1983.861157
0.0,303,1986.668165
0.0,303,1989.768874
0.0,303,1992.93791
0.0,303,1996.223129
0.0,303,1999.530288
0.0,303,2002.882837
0.0,303,2005.807024
0.0,303,2011.192136
0.0,303,2013.906879
0.0,303,2017.04649
0.0,303,2020.100853
0.0,303,2022.718855
0.0,303,2025.743769
0.0,303,2028.15233
0.0,303,2030.760359
0.0,303,2033.613733
0.0,303,2036.805201
0.0,303,2039.330491
0.0,303,2041.995679
0.0,303,2044.711485
0.0,303,2047.461285
0.0,303,2050.174599
0.0,303,2053.184041
0.0,303,2056.234423
0.0,303,2058.787598
0.0,303,2061.483391
0.0,303,2063.877991
0.0,303,2066.69147
0.0,303,2069.052159
0.0,303,2071.771889
0.0,303,2074.848664
0.0,303,2078.126902
0.0,303,2081.742239
0.0,303,2084.934705
0.0,303,2087.971587
0.0,303,2090.647436
0.0,303,2093.090902
0.0,303,2096.102851
0.0,303,2098.668991
0.0,303,2101.844504
0.0,303,2104.820084
0.0,303,2107.68986
0.0,303,2110.412681
0.0,303,2113.719462
0.0,303,2116.914523
0.0,303,2120.159404
0.0,303,2122.842234
0.0,303,2125.662695
0.0,303,2128.010419
0.0,303,2130.683783
0.0,303,2133.023528
0.0,303,2135.562741
0.0,303,2138.148829
0.0,303,2141.078038
0.0,303,2144.539382
0.0,303,2148.062963
0.0,303,2151.302815
0.0,303,2154.661349
0.0,303,2158.063317
0.0,303,2161.48118
0.0,303,2164.275709
0.0,303,2167.063259
0.0,303,2170.009914
0.0,303,2172.892353
0.0,303,2176.200133
0.0,303,2179.553452
0.0,303,2182.544457
0.0,303,2185.358933
0.0,303,2187.905127
0.0,303,2190.45132
0.0,303,2193.125173
0.0,303,2195.758135
0.0,303,2201.650393
0.0,303,2205.389442
0.0,303,2209.073595
0.0,303,2212.659011
0.0,303,2215.759724
0.0,303,2218.426594
0.0,303,2220.751379
0.0,303,2224.359735
0.0,303,2228.082783
0.0,303,2231.661727
0.0,303,2235.526395
0.0,303,2239.810708
0.0,303,2243.183413
0.0,303,2247.205389
0.0,303,2251.364057
0.0,303,2255.501033
0.0,303,2259.69557
0.0,303,2263.818955
0.0,303,2268.043675
0.0,303,2272.145637
0.0,303,2276.354559
0.0,303,2280.234135
0.0,303,2284.355062
0.0,303,2288.634129
0.0,303,2292.183098
0.0,303,2295.582551
0.0,303,2299.092673
0.0,303,2303.091867
0.0,303,2305.401456
0.0,303,2307.952643
0.0,303,2310.557055
0.0,303,2313.589192
0.0,303,2317.680347
0.0,303,2321.772181
0.0,303,2325.23249
0.0,303,2328.237644
0.0,303,2332.111844
0.0,303,2336.247343
0.0,303,2340.363691
0.0,303,2343.947033
0.0,303,2347.931409
0.0,303,2352.096215
0.0,303,2356.022005
0.0,303,2360.328489
0.0,303,2364.387954
0.0,303,2368.129287
0.0,303,2371.48993
0.0,303,2375.45546
0.0,303,2378.95575
0.0,303,2382.60996
0.0,303,2386.648613
0.0,303,2390.127748
0.0,303,2394.039451
0.0,303,2397.923096
0.0,303,2401.542221
0.0,303,2405.868718
0.0,303,2409.240645
0.0,303,2412.744428
0.0,303,2416.57636
0.0,303,2420.355058
0.0,303,2424.351697
0.0,303,2428.306769
0.0,303,2431.850414
0.0,303,2435.897846
0.0,303,2439.236512
0.0,303,2445.699519
0.0,303,2449.587255
0.0,303,2452.939851
0.0,303,2456.664321
0.0,303,2460.474158
0.0,303,2464.519054
0.0,303,2468.54621
0.0,303,2472.7707
0.0,303,2476.850564
0.0,303,2480.630375
0.0,303,2484.480372
0.0,303,2488.234698
0.0,303,2491.494047
0.0,303,2495.408243
0.0,303,2499.300362
0.0,303,2503.365362
0.0,303,2507.009548
0.0,303,2510.99931
0.0,303,2514.893704
0.0,303,2518.916818
0.0,303,2522.888866
0.0,303,2526.515306
0.0,303,2530.242507
0.0,303,2534.053901
0.0,303,2538.232277
0.0,303,2541.942754
0.0,303,2545.580021
0.0,303,2549.64599
0.0,303,2553.32595
0.0,303,2557.056901
0.0,303,2561.265072
0.0,303,2565.403973
0.0,303,2569.237544
0.0,303,2573.166377
0.0,303,2577.130847
0.0,303,2581.007473
0.0,303,2584.761187
0.0,303,2589.05975
0.0,303,2592.977866
0.0,303,2596.915178
0.0,303,2600.794911
0.0,303,2604.103668
0.0,303,2607.498386
0.0,303,2611.554004
0.0,303,2615.264464
0.0,303,2620.092308
0.0,303,2625.024562
0.0,303,2628.881206
0.0,303,2633.073212
0.0,303,2636.966995
0.0,303,2641.218152
0.0,303,2645.512161
0.0,303,2649.932221
0.0,303,2653.800116
0.0,303,2658.121261
0.0,303,2662.609794
0.0,303,2666.54474
0.0,303,2670.761527
0.0,303,2674.802924
0.0,303,2678.746536
0.0,303,2683.140653
0.0,303,2687.17225
0.0,303,2691.17433
0.0,303,2695.56008
0.0,303,2699.154745
0.0,303,2706.121383
0.0,303,2710.118223
0.0,303,2714.291785
0.0,303,2718.994038
0.0,303,2723.736665
0.0,303,2728.628559
0.0,303,2732.751313
0.0,303,2737.309465
0.0,303,2741.044293
0.0,303,2745.591922
0.0,303,2749.907662
0.0,303,2754.179611
0.0,303,2758.617866
0.0,303,2762.619419
0.0,303,2766.825934
0.0,303,2771.473758
0.0,303,2775.763414
0.0,303,2780.213794
0.0,303,2784.923478
0.0,303,2789.397917
0.0,303,2793.686419
0.0,303,2797.83971
0.0,303,2802.10513
0.0,303,2806.556573
0.0,303,2810.901167
0.0,303,2815.352024
0.0,303,2819.287938
0.0,303,2822.606822
0.0,303,2825.08191
0.0,303,2829.348563
0.0,303,2833.894086
0.0,303,2837.717643
0.0,303,2841.590791
0.0,303,2845.411175
0.0,303,2849.099712
0.0,303,2852.834111
0.0,303,2856.868575
0.0,303,2860.502326
0.0,303,2864.275369
0.0,303,2868.312932
0.0,303,2872.956829
0.0,303,2876.850455
0.0,303,2880.426717
0.0,303,2884.384115
0.0,303,2888.582588
0.0,303,2893.008998
0.0,303,2897.158377
0.0,303,2901.360738
0.0,303,2905.591439
0.0,303,2909.721295
0.0,303,2914.065125
0.0,303,2918.132254
0.0,303,2922.432074
0.0,303,2926.757641
0.0,303,2931.034427
0.0,303,2935.524274
0.0,303,2939.768684
0.0,303,2944.258263
0.0,303,2948.179533
0.0,303,2952.387496
0.0,303,2957.995379
0.0,303,2962.488198
0.0,303,2966.860674
0.0,303,2971.652094
0.0,303,2976.02553
0.0,303,2983.451119
0.0,303,2987.167662
0.0,303,2991.156185
0.0,303,2995.037148
0.0,303,2998.798203
0.0,303,3002.852152
0.0,303,3006.688506
0.0,303,3011.114787
0.0,303,3015.519283
0.0,303,3019.542924
0.0,303,3023.337029
0.0,303,3027.089294
0.0,303,3030.958344
0.0,303,3034.838324
0.0,303,3038.47295
0.0,303,3042.350775
0.0,303,3046.388666
0.0,303,3050.285653
0.0,303,3053.986456
0.0,303,3057.856058
0.0,303,3062.01427
0.0,303,3065.701763
0.0,303,3069.540249
0.0,303,3073.499422
0.0,303,3077.165419
0.0,303,3080.993385
0.0,303,3085.057717
0.0,303,3088.659631
0.0,303,3092.323596
0.0,303,3096.364592
0.0,303,3100.194758
0.0,303,3103.969516
0.0,303,3107.918244
0.0,303,3111.651387
0.0,303,3115.386378
0.0,303,3119.471922
0.0,303,3123.266083
0.0,303,3127.018203
0.0,303,3131.089195
0.0,303,3134.749998
0.0,303,3138.718581
0.0,303,3142.79231
0.0,303,3146.639625
0.0,303,3150.289797
0.0,303,3153.857453
0.0,303,3157.729118
0.0,303,3161.466819
0.0,303,3165.543049
0.0,303,3169.107426
0.0,303,3173.102897
0.0,303,3177.190155
0.0,303,3180.963677
0.0,303,3184.584791
0.0,303,3188.467352
0.0,303,3192.477641
0.0,303,3196.513224
0.0,303,3200.342672
0.0,303,3204.559589
0.0,303,3208.380697
0.0,303,3212.178356
0.0,303,3219.237368
0.0,303,3222.91068
0.0,303,3227.142056
0.0,303,3230.767495
0.0,303,3234.783393
0.0,303,3238.696059
0.0,303,3242.649583
0.0,303,3246.3936
0.0,303,3250.365431
0.0,303,3254.276174
0.0,303,3258.124326
0.0,303,3262.393877
0.0,303,3266.250938
0.0,303,3270.133367
0.0,303,3274.074369
0.0,303,3278.1318
0.0,303,3282.223342
0.0,303,3286.111736
0.0,303,3289.908469
0.0,303,3293.700749
0.0,303,3297.998963
0.0,303,3301.820212
0.0,303,3305.567987
0.0,303,3309.758745
0.0,303,3313.718019
0.0,303,3317.649304
0.0,303,3321.427145
0.0,303,3325.37459
0.0,303,3329.130086
0.0,303,3332.97995
0.0,303,3336.719706
0.0,303,3340.65942
0.0,303,3344.487247
0.0,303,3348.227189
0.0,303,3352.472049
0.0,303,3356.434058
0.0,303,3360.292518
0.0,303,3364.598486
0.0,303,3368.142298
0.0,303,3372.053423
0.0,303,3376.224527
0.0,303,3380.078139
0.0,303,3384.263358
0.0,303,3387.979619
0.0,303,3391.848265
0.0,303,3396.052753
0.0,303,3399.768403
0.0,303,3403.897874
0.0,303,3407.936965
0.0,303,3412.162092
0.0,303,3415.938406
0.0,303,3419.281422
0.0,303,3422.615751
